item_id,item_name,category,veg_flag,price,combo_group,substitute_group
2328,Chicken Pahari Kebab,Starter,Non-Veg,150.0,starter,starter
2329,Stuffed Tangdi Kebab,Starter,Non-Veg,150.0,starter,starter
2330,Tangdi Kebab,Starter,Non-Veg,150.0,starter,starter
2331,Noorani Kebab,Starter,Non-Veg,150.0,starter,starter
2332,Achari Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2333,Kali Mirch Kebab,Starter,Non-Veg,150.0,starter,starter
2334,Lahori Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2335,Tiranga Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2336,Hariyali Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2337,Sigri Da Murgh Tikka,Starter,Non-Veg,150.0,starter,starter
2338,Murgh Angara Tikka Tandoor,Starter,Non-Veg,150.0,starter,starter
2339,Chicken Chaap,Sides,Non-Veg,150.0,sides,sides
2340,Chicken Malai Cheese Chilli,Sides,Non-Veg,150.0,sides,sides
2341,Nawabi Mint Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2342,Buransi Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2343,Murgh Angara Tikka,Starter,Non-Veg,150.0,starter,starter
2344,Peri Peri Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2345,Chicken Seekh Kebab,Starter,Non-Veg,150.0,starter,starter
2346,Murgh Musallam Tandoor,Sides,Non-Veg,150.0,sides,sides
2347,Peshawari Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2348,Kamli Kebab (4pcs),Starter,Non-Veg,150.0,starter,starter
2349,Mutton Makhmali Kebab,Starter,Non-Veg,150.0,starter,starter
2350,Bbq Prawns,Sides,Non-Veg,150.0,sides,sides
2351,Red Snaperr,Sides,Veg,150.0,sides,sides
2352,Babycorn Pakoda,Starter,Veg,150.0,starter,starter
2353,Aloo 65,Starter,Veg,150.0,starter,starter
2354,Aloo Onion Mix,Starter,Veg,150.0,starter,starter
2355,Veg Paneer Pakoda,Curry,Veg,150.0,curry,curry
2356,Onion Pudina Pakoda,Starter,Veg,150.0,starter,starter
2357,Baingan Ka Bharta,Starter,Veg,150.0,starter,starter
2358,Dahi K Sholay,Starter,Veg,150.0,starter,starter
2359,Punjabi Hut Kadhi,Starter,Veg,150.0,starter,starter
2360,Egg Pakora,Starter,Egg,150.0,starter,starter
2361,Fish Pakora,Starter,Non-Veg,150.0,starter,starter
2362,Masala Omllet,Curry,Veg,150.0,curry,curry
2363,Cheese Corn Balls,Starter,Veg,150.0,starter,starter
2364,Veg Manchurian Dry,Starter,Veg,150.0,starter,starter
2365,Baby Corn Delight,Starter,Veg,150.0,starter,starter
2366,Schezwan Paneer Dry,Curry,Veg,150.0,curry,curry
2367,Paneer Manchurian Dry,Curry,Veg,150.0,curry,curry
2368,Paneer Pakoda,Curry,Veg,150.0,curry,curry
2369,American Chopsuey Veg,Starter,Veg,150.0,starter,starter
2370,Dragon Cauliflower,Starter,Veg,150.0,starter,starter
2371,Buttered Cauliflower,Starter,Veg,150.0,starter,starter
2372,Steamed Vegetables,Starter,Veg,150.0,starter,starter
2373,Cheese Corn Roll,Starter,Veg,150.0,starter,starter
2374,Palak Cheese Roll,Starter,Veg,150.0,starter,starter
2375,Veg Dragon Roll,Starter,Veg,150.0,starter,starter
2376,Fried Wonton,Starter,Veg,150.0,starter,starter
2377,Chilli Crispy Potatoes,Starter,Veg,150.0,starter,starter
2378,Spring Roll,Starter,Veg,150.0,starter,starter
2379,Dragon Potatoes,Starter,Veg,150.0,starter,starter
2380,Crispy Chilli Baby Corn,Starter,Veg,150.0,starter,starter
2381,Chilli Mushroom,Starter,Veg,150.0,starter,starter
2382,Mushroom Salt & Pepper,Starter,Veg,150.0,starter,starter
2383,Dragon Paneer,Curry,Veg,150.0,curry,curry
2384,Spicy Fried Paneer,Curry,Veg,150.0,curry,curry
2385,Thai Chilli Cauliflower,Starter,Veg,150.0,starter,starter
2386,Thai Chilli Paneer,Curry,Veg,150.0,curry,curry
2387,Bhindi Fry,Starter,Veg,150.0,starter,starter
2388,Crispy American Corn,Starter,Veg,150.0,starter,starter
2389,Chilli Egg,Starter,Egg,150.0,starter,starter
2390,Chicken Fried Wonton,Starter,Non-Veg,150.0,starter,starter
2391,Egg Manchurian,Starter,Egg,150.0,starter,starter
2392,Lollipop Chicken,Starter,Non-Veg,150.0,starter,starter
2393,Spicy Fried Chicken,Starter,Non-Veg,150.0,starter,starter
2394,Spicy Fried Lollipop,Starter,Non-Veg,150.0,starter,starter
2395,Chilli Garlic Chicken,Starter,Non-Veg,150.0,starter,starter
2396,Crispy Chicken Winglet,Starter,Non-Veg,150.0,starter,starter
2397,Pan Fried Chicken,Starter,Non-Veg,150.0,starter,starter
2398,Chinese Chicken Satay,Starter,Non-Veg,150.0,starter,starter
2399,Cantonese Fried Chicken,Starter,Non-Veg,150.0,starter,starter
2400,Chinese Schezwan Chicken,Starter,Non-Veg,150.0,starter,starter
2401,Bx Special Chicken,Starter,Non-Veg,150.0,starter,starter
2402,Chicken And Cheese Roll,Starter,Non-Veg,150.0,starter,starter
2403,Crispy Chicken Seekh,Starter,Non-Veg,150.0,starter,starter
2404,Chicken Leg Hot Pepper,Starter,Non-Veg,150.0,starter,starter
2405,Chicken Shangai Roll,Starter,Non-Veg,150.0,starter,starter
2406,Bx Fried Chicken,Starter,Non-Veg,150.0,starter,starter
2407,Crispy Lamb Dry,Starter,Non-Veg,150.0,starter,starter
2408,Chilli Lamb Dry,Starter,Non-Veg,150.0,starter,starter
2409,American Chicken Chopsuey,Starter,Non-Veg,150.0,starter,starter
2410,Chinese Chilli Chicken Dry,Starter,Non-Veg,150.0,starter,starter
2411,Chinese Kung Pao Chicken,Starter,Non-Veg,150.0,starter,starter
2412,Dragon Prawns,Starter,Non-Veg,150.0,starter,starter
2413,Wasabi Prawns,Starter,Non-Veg,150.0,starter,starter
2414,Buttered Prawns,Starter,Non-Veg,150.0,starter,starter
2415,Spicy Fried Prawns,Starter,Non-Veg,150.0,starter,starter
2416,Prawns Salt & Pepper,Starter,Non-Veg,150.0,starter,starter
2417,Thai Chilli Prawns,Starter,Non-Veg,150.0,starter,starter
2418,Fish Finger,Starter,Non-Veg,150.0,starter,starter
2419,Prawns Satay,Starter,Non-Veg,150.0,starter,starter
2420,Thai Chilli Fish,Starter,Non-Veg,150.0,starter,starter
2421,Fish Finger Black Pepper,Starter,Non-Veg,150.0,starter,starter
2422,Pan Fried Fish,Starter,Non-Veg,150.0,starter,starter
2423,Fish Satay,Starter,Non-Veg,150.0,starter,starter
2424,Fish Salt & Pepper Dry,Starter,Non-Veg,150.0,starter,starter
2425,Tandoori Paneer Tikka,Curry,Veg,150.0,curry,curry
2426,Veg Sattelite,Sides,Veg,150.0,sides,sides
2427,Veg Dragon Xpress,Sides,Veg,150.0,sides,sides
2428,Oriental Xpress,Sides,Veg,150.0,sides,sides
2429,Paneer Satay,Curry,Veg,150.0,curry,curry
2430,Dragon Xpress,Sides,Non-Veg,150.0,sides,sides
2431,Chicken Satay,Sides,Non-Veg,150.0,sides,sides
2432,Chinese Sizzler,Sides,Non-Veg,150.0,sides,sides
2433,Chicken Tikka Sizzler,Starter,Non-Veg,150.0,starter,starter
2434,Veg Kolhapuri,Sides,Veg,150.0,sides,sides
2435,Sarso Ka Saag,Sides,Veg,150.0,sides,sides
2436,Kaju Curry Masala,Curry,Veg,150.0,curry,curry
2437,Adraki Aloo Jeera,Sides,Veg,150.0,sides,sides
2438,Dal Makhani,Curry,Veg,150.0,curry,curry
2439,Special Dal Tadka,Curry,Veg,150.0,curry,curry
2440,Paneer Khurchan,Curry,Veg,150.0,curry,curry
2441,Signature Paneer,Curry,Veg,150.0,curry,curry
2442,Paneer E Lazeez,Curry,Veg,150.0,curry,curry
2443,Paneer Khaleji,Curry,Veg,150.0,curry,curry
2444,Paneer Angara Gravy,Curry,Veg,150.0,curry,curry
2445,Kaju Paneer,Curry,Veg,150.0,curry,curry
2446,Mutter Paneer,Curry,Veg,150.0,curry,curry
2447,Shahi Paneer,Curry,Veg,150.0,curry,curry
2448,Paneer Lababdar,Curry,Veg,150.0,curry,curry
